17/10/1964	14:15	TSV 1860 München	-	Hannover 96	4:0 (0:0)	
	14:15	FC Schalke 04	-	Hertha BSC	3:0 (2:0)	
	14:15	1. FC Kaiserslautern	-	1. FC Nürnberg	3:2 (1:1)	
	14:15	Karlsruher SC	-	Hamburger SV	2:2 (1:2)	
	14:15	Meidericher SV	-	VfB Stuttgart	3:3 (1:2)	
	14:15	Eintracht Braunschweig	-	Borussia Dortmund	0:1 (0:0)	
	14:15	Werder Bremen	-	Borussia Neunkirchen	2:0 (2:0)	
	14:15	Frankfurter SG Eintracht	-	1. FC Köln	1:4 (0:1)	
1		Borussia Dortmund	8	5	2	1	14:8	6	12:4
2		1. FC Köln	8	5	1	2	25:15	10	11:5
3		Werder Bremen	8	5	1	2	15:8	7	11:5
4		1. FC Kaiserslautern	8	5	1	2	17:11	6	11:5
5		Hamburger SV	8	3	4	1	13:8	5	10:6
6		TSV 1860 München	8	3	3	2	16:8	8	9:7
7		1. FC Nürnberg	8	4	1	3	16:13	3	9:7
8		VfB Stuttgart	8	2	5	1	14:12	2	9:7
9		Karlsruher SC	8	2	3	3	14:14	0	7:9
10		Hertha BSC	8	2	3	3	7:12	-5	7:9
11		Frankfurter SG Eintracht	8	3	1	4	11:19	-8	7:9
12		Hannover 96	8	2	2	4	9:14	-5	6:10
13		Eintracht Braunschweig	8	2	2	4	9:15	-6	6:10
14		Meidericher SV	8	2	1	5	11:19	-8	5:11
15		Borussia Neunkirchen	8	2	0	6	11:17	-6	4:12
16		FC Schalke 04	8	1	2	5	11:20	-9	4:12
