22/10/1966	15:00	TSV 1860 München	-	Fortuna Düsseldorf	3:0 (2:0)	
	15:00	Frankfurter SG Eintracht	-	FC Schalke 04	4:2 (1:0)	
	15:00	Eintracht Braunschweig	-	Borussia Dortmund	3:1 (0:0)	
	15:00	Werder Bremen	-	Hannover 96	3:0 (1:0)	
	15:00	1. FC Nürnberg	-	Karlsruher SC	2:2 (1:1)	
	15:00	Meidericher SV	-	1. FC Kaiserslautern	1:1 (1:0)	
	15:00	Rot-Weiss Essen	-	Bor. Mönchengladbach	2:1 (0:1)	
	15:00	1. FC Köln	-	Bayern München	2:4 (1:2)	
	15:00	VfB Stuttgart	-	Hamburger SV	1:3 (1:1)	
1		Eintracht Braunschweig	10	6	2	2	12:5	7	14:6
2		Frankfurter SG Eintracht	10	6	1	3	22:11	11	13:7
3		Hamburger SV	10	5	3	2	14:12	2	13:7
4		1. FC Kaiserslautern	10	4	4	2	17:14	3	12:8
5		Rot-Weiss Essen	10	5	2	3	16:13	3	12:8
6		1. FC Nürnberg	10	5	1	4	14:11	3	11:9
7		Bayern München	10	4	2	4	20:16	4	10:10
8		Bor. Mönchengladbach	10	3	4	3	16:12	4	10:10
		Werder Bremen	10	5	0	5	16:12	4	10:10
10		Meidericher SV	10	3	4	3	10:10	0	10:10
11		Borussia Dortmund	10	4	1	5	14:16	-2	9:11
12		Fortuna Düsseldorf	10	4	1	5	12:16	-4	9:11
13		FC Schalke 04	10	3	3	4	10:14	-4	9:11
14		Hannover 96	10	3	3	4	8:12	-4	9:11
15		VfB Stuttgart	10	3	3	4	12:17	-5	9:11
16		1. FC Köln	10	3	2	5	10:18	-8	8:12
17		TSV 1860 München	10	3	1	6	14:17	-3	7:13
18		Karlsruher SC	10	1	3	6	10:21	-11	5:15
