05/11/1966	14:00	TSV 1860 München	-	Karlsruher SC	3:0 (1:0)	
	14:00	VfB Stuttgart	-	Bayern München	2:4 (1:2)	
	14:00	Werder Bremen	-	Bor. Mönchengladbach	2:2 (0:1)	
	14:00	FC Schalke 04	-	Hamburger SV	2:0 (1:0)	
	14:00	1. FC Nürnberg	-	Rot-Weiss Essen	1:1 (1:1)	
	14:00	Frankfurter SG Eintracht	-	1. FC Kaiserslautern	1:1 (0:1)	
	14:00	Meidericher SV	-	Borussia Dortmund	1:5 (0:3)	
	14:00	1. FC Köln	-	Hannover 96	1:1 (1:1)	
	14:00	Eintracht Braunschweig	-	Fortuna Düsseldorf	4:0 (1:0)	
1		Eintracht Braunschweig	12	7	2	3	16:7	9	16:8
2		Frankfurter SG Eintracht	12	6	3	3	24:13	11	15:9
3		1. FC Kaiserslautern	12	5	5	2	19:15	4	15:9
4		Bayern München	12	6	2	4	26:18	8	14:10
5		Rot-Weiss Essen	12	5	4	3	18:15	3	14:10
6		Hamburger SV	12	5	4	3	14:14	0	14:10
7		Bor. Mönchengladbach	12	4	5	3	20:14	6	13:11
8		Werder Bremen	12	5	2	5	22:18	4	12:12
9		Borussia Dortmund	12	5	2	5	20:18	2	12:12
10		1. FC Nürnberg	12	5	2	5	15:14	1	12:12
11		FC Schalke 04	12	4	3	5	12:15	-3	11:13
12		Hannover 96	12	3	5	4	11:15	-4	11:13
		Meidericher SV	12	3	5	4	11:15	-4	11:13
14		1. FC Köln	12	4	3	5	14:20	-6	11:13
15		TSV 1860 München	12	4	2	6	19:19	0	10:14
16		VfB Stuttgart	12	3	4	5	15:22	-7	10:14
17		Fortuna Düsseldorf	12	4	1	7	13:23	-10	9:15
18		Karlsruher SC	12	1	4	7	14:28	-14	6:18
