28/10/1967	15:00	Bayern München	-	TSV 1860 München	2:2 (1:1)	
	15:00	Borussia Dortmund	-	Eintracht Braunschweig	0:1 (0:0)	
	15:00	Hannover 96	-	FC Schalke 04	2:1 (2:0)	
	15:00	Karlsruher SC	-	Bor. Mönchengladbach	3:2 (3:1)	
	15:00	MSV Duisburg	-	Werder Bremen	1:1 (1:0)	
	15:00	Borussia Neunkirchen	-	Frankfurter SG Eintracht	2:2 (0:0)	
	15:00	1. FC Nürnberg	-	1. FC Kaiserslautern	4:1 (3:0)	
	15:00	Hamburger SV	-	1. FC Köln	3:1 (1:1)	
	15:00	Alemannia Aachen	-	VfB Stuttgart	3:2 (1:1)	
1		1. FC Nürnberg	11	8	3	0	28:6	22	19:3
2		Bayern München	11	6	2	3	21:16	5	14:8
3		Borussia Dortmund	11	5	3	3	25:16	9	13:9
4		Eintracht Braunschweig	11	5	3	3	11:12	-1	13:9
5		Bor. Mönchengladbach	11	4	4	3	28:17	11	12:10
6		MSV Duisburg	11	4	4	3	16:14	2	12:10
7		Hannover 96	11	5	2	4	18:19	-1	12:10
8		1. FC Kaiserslautern	11	4	4	3	16:24	-8	12:10
9		1. FC Köln	11	5	1	5	22:16	6	11:11
10		Werder Bremen	11	4	3	4	21:24	-3	11:11
11		Alemannia Aachen	11	4	3	4	13:16	-3	11:11
12		VfB Stuttgart	11	3	4	4	19:18	1	10:12
13		TSV 1860 München	11	2	6	3	15:17	-2	10:12
14		Frankfurter SG Eintracht	11	3	3	5	17:20	-3	9:13
15		Hamburger SV	11	3	2	6	15:20	-5	8:14
16		Karlsruher SC	11	4	0	7	13:19	-6	8:14
17		Borussia Neunkirchen	11	2	4	5	12:22	-10	8:14
18		FC Schalke 04	11	1	3	7	7:21	-14	5:17
