04/11/1967	15:00	FC Schalke 04	-	Bayern München	0:1 (0:0)	
	15:00	Frankfurter SG Eintracht	-	Hamburger SV	1:1 (0:1)	
	15:00	Eintracht Braunschweig	-	Karlsruher SC	1:0 (0:0)	
	15:00	Bor. Mönchengladbach	-	Borussia Neunkirchen	10:0 (2:0)	
	15:00	VfB Stuttgart	-	Hannover 96	2:0 (1:0)	
	15:00	1. FC Kaiserslautern	-	MSV Duisburg	0:1 (0:0)	
	15:00	TSV 1860 München	-	Borussia Dortmund	3:0 (2:0)	
	15:00	Werder Bremen	-	Alemannia Aachen	0:1 (0:0)	
	15:00	1. FC Köln	-	1. FC Nürnberg	3:3 (1:1)	
1		1. FC Nürnberg	12	8	4	0	31:9	22	20:4
2		Bayern München	12	7	2	3	22:16	6	16:8
3		Eintracht Braunschweig	12	6	3	3	12:12	0	15:9
4		Bor. Mönchengladbach	12	5	4	3	38:17	21	14:10
5		MSV Duisburg	12	5	4	3	17:14	3	14:10
6		Borussia Dortmund	12	5	3	4	25:19	6	13:11
7		Alemannia Aachen	12	5	3	4	14:16	-2	13:11
8		1. FC Köln	12	5	2	5	25:19	6	12:12
9		VfB Stuttgart	12	4	4	4	21:18	3	12:12
10		TSV 1860 München	12	3	6	3	18:17	1	12:12
11		Hannover 96	12	5	2	5	18:21	-3	12:12
12		1. FC Kaiserslautern	12	4	4	4	16:25	-9	12:12
13		Werder Bremen	12	4	3	5	21:25	-4	11:13
14		Frankfurter SG Eintracht	12	3	4	5	18:21	-3	10:14
15		Hamburger SV	12	3	3	6	16:21	-5	9:15
16		Karlsruher SC	12	4	0	8	13:20	-7	8:16
17		Borussia Neunkirchen	12	2	4	6	12:32	-20	8:16
18		FC Schalke 04	12	1	3	8	7:22	-15	5:19
