30/09/1967	14:30	TSV 1860 München	-	MSV Duisburg	0:1 (0:0)	
	14:30	1. FC Köln	-	Werder Bremen	1:4 (0:1)	
	14:30	Borussia Neunkirchen	-	Karlsruher SC	3:2 (2:1)	
	14:30	Hamburger SV	-	Borussia Dortmund	3:2 (1:2)	
	14:30	FC Schalke 04	-	1. FC Nürnberg	0:0 (0:0)	
	14:30	Frankfurter SG Eintracht	-	Bayern München	2:3 (2:2)	
	14:30	Bor. Mönchengladbach	-	Hannover 96	5:1 (4:1)	
	14:30	Eintracht Braunschweig	-	Alemannia Aachen	2:0 (2:0)	
06/10/1967	19:00	VfB Stuttgart	-	1. FC Kaiserslautern	0:1 (0:0)	
1		1. FC Nürnberg	8	5	3	0	15:4	11	13:3
2		Bor. Mönchengladbach	8	4	3	1	23:9	14	11:5
3		Bayern München	8	5	1	2	16:12	4	11:5
4		1. FC Kaiserslautern	8	4	3	1	13:13	0	11:5
5		Borussia Dortmund	8	4	2	2	21:12	9	10:6
6		MSV Duisburg	8	4	2	2	14:9	5	10:6
7		1. FC Köln	8	4	1	3	15:11	4	9:7
8		Werder Bremen	8	4	1	3	18:17	1	9:7
9		Hannover 96	8	4	1	3	14:14	0	9:7
10		VfB Stuttgart	8	2	4	2	13:10	3	8:8
11		Eintracht Braunschweig	8	3	2	3	8:11	-3	8:8
12		Alemannia Aachen	8	3	2	3	6:9	-3	8:8
13		Frankfurter SG Eintracht	8	2	2	4	12:16	-4	6:10
14		TSV 1860 München	8	1	4	3	7:11	-4	6:10
15		Hamburger SV	8	2	1	5	11:17	-6	5:11
16		Karlsruher SC	8	2	0	6	8:14	-6	4:12
17		Borussia Neunkirchen	8	1	2	5	8:19	-11	4:12
18		FC Schalke 04	8	0	2	6	3:17	-14	2:14
