19/10/1968	14:30	FC Schalke 04	-	Bor. Mönchengladbach	1:1 (0:1)	
	14:30	Alemannia Aachen	-	Bayern München	2:4 (1:2)	
	14:30	TSV 1860 München	-	1. FC Kaiserslautern	1:0 (0:0)	
	14:30	Hertha BSC	-	Kickers Offenbach	1:0 (1:0)	
	14:30	Eintracht Frankfurt	-	1. FC Nürnberg	3:0 (0:0)	
	14:30	MSV Duisburg	-	1. FC Köln	0:0 (0:0)	
	14:30	Eintracht Braunschweig	-	Borussia Dortmund	4:3 (1:2)	
	14:30	VfB Stuttgart	-	Werder Bremen	2:2 (1:0)	
	14:30	Hamburger SV	-	Hannover 96	1:4 (0:2)	
1		Bayern München	10	8	2	0	27:9	18	18:2
2		Bor. Mönchengladbach	10	6	2	2	24:14	10	14:6
3		Eintracht Braunschweig	10	5	3	2	20:14	6	13:7
4		Hamburger SV	10	5	1	4	18:18	0	11:9
5		1. FC Kaiserslautern	10	5	1	4	12:12	0	11:9
6		MSV Duisburg	10	3	5	2	10:10	0	11:9
7		Hannover 96	10	3	4	3	20:16	4	10:10
8		VfB Stuttgart	10	3	4	3	13:13	0	10:10
9		1. FC Köln	10	4	2	4	10:13	-3	10:10
10		TSV 1860 München	10	4	2	4	12:18	-6	10:10
11		Eintracht Frankfurt	10	3	3	4	12:12	0	9:11
12		Hertha BSC	10	3	3	4	10:16	-6	9:11
13		FC Schalke 04	10	3	2	5	14:13	1	8:12
14		Alemannia Aachen	10	3	2	5	22:24	-2	8:12
15		1. FC Nürnberg	10	3	2	5	13:17	-4	8:12
16		Borussia Dortmund	10	2	3	5	17:22	-5	7:13
17		Werder Bremen	10	3	1	6	14:19	-5	7:13
18		Kickers Offenbach	10	2	2	6	10:18	-8	6:14
