05/10/1968	14:30	1. FC Kaiserslautern	-	Alemannia Aachen	2:1 (1:1)	
	14:30	1. FC Köln	-	Eintracht Frankfurt	2:1 (1:0)	
	14:30	1. FC Nürnberg	-	Hertha BSC	3:0 (3:0)	
	14:30	Kickers Offenbach	-	FC Schalke 04	1:0 (1:0)	
	14:30	Borussia Dortmund	-	MSV Duisburg	2:1 (1:0)	
	14:30	Bor. Mönchengladbach	-	Hamburger SV	1:2 (1:2)	
	14:30	Werder Bremen	-	Eintracht Braunschweig	2:1 (1:1)	
	14:30	Hannover 96	-	TSV 1860 München	3:2 (1:1)	
	14:30	Bayern München	-	VfB Stuttgart	2:0 (0:0)	
1		Bayern München	9	7	2	0	23:7	16	16:2
2		Bor. Mönchengladbach	9	6	1	2	23:13	10	13:5
3		Eintracht Braunschweig	9	4	3	2	16:11	5	11:7
4		Hamburger SV	9	5	1	3	17:14	3	11:7
5		1. FC Kaiserslautern	9	5	1	3	12:11	1	11:7
6		MSV Duisburg	9	3	4	2	10:10	0	10:8
7		VfB Stuttgart	9	3	3	3	11:11	0	9:9
8		1. FC Köln	9	4	1	4	10:13	-3	9:9
9		Hannover 96	9	2	4	3	16:15	1	8:10
10		Alemannia Aachen	9	3	2	4	20:20	0	8:10
11		1. FC Nürnberg	9	3	2	4	13:14	-1	8:10
12		TSV 1860 München	9	3	2	4	11:18	-7	8:10
13		FC Schalke 04	9	3	1	5	13:12	1	7:11
14		Eintracht Frankfurt	9	2	3	4	9:12	-3	7:11
15		Borussia Dortmund	9	2	3	4	14:18	-4	7:11
16		Hertha BSC	9	2	3	4	9:16	-7	7:11
17		Werder Bremen	9	3	0	6	12:17	-5	6:12
18		Kickers Offenbach	9	2	2	5	10:17	-7	6:12
