23/10/1970	19:00	Rot-Weiß Oberhausen	-	Bayern München	0:4 (0:2)	
24/10/1970	14:30	MSV Duisburg	-	Bor. Mönchengladbach	1:1 (0:0)	
	14:30	1. FC Köln	-	Arminia Bielefeld	2:0 (0:0)	
	14:30	Kickers Offenbach	-	Borussia Dortmund	3:0 (1:0)	
	14:30	VfB Stuttgart	-	Eintracht Frankfurt	2:1 (0:1)	
	14:30	Werder Bremen	-	Hannover 96	0:0 (0:0)	
	14:30	Eintracht Braunschweig	-	Hamburger SV	4:1 (1:1)	
	14:30	FC Schalke 04	-	1. FC Kaiserslautern	2:0 (2:0)	
	14:30	Hertha BSC	-	Rot-Weiss Essen	1:1 (0:1)	
1		Bor. Mönchengladbach	12	5	7	0	25:8	17	17:7
2		Bayern München	12	6	5	1	23:9	14	17:7
3		FC Schalke 04	12	7	3	2	21:9	12	17:7
4		Eintracht Braunschweig	12	7	2	3	22:11	11	16:8
5		VfB Stuttgart	12	5	4	3	21:17	4	14:10
6		Hertha BSC	12	6	2	4	17:13	4	14:10
7		1. FC Köln	12	4	5	3	16:13	3	13:11
8		Rot-Weiss Essen	12	3	6	3	17:14	3	12:12
9		1. FC Kaiserslautern	12	6	0	6	21:22	-1	12:12
10		Kickers Offenbach	12	4	3	5	14:18	-4	11:13
11		MSV Duisburg	12	3	5	4	8:12	-4	11:13
12		Borussia Dortmund	12	4	2	6	16:20	-4	10:14
13		Werder Bremen	12	2	6	4	8:12	-4	10:14
14		Eintracht Frankfurt	12	2	5	5	5:11	-6	9:15
15		Rot-Weiß Oberhausen	12	3	3	6	22:29	-7	9:15
16		Hamburger SV	12	3	3	6	16:31	-15	9:15
17		Arminia Bielefeld	12	3	2	7	11:22	-11	8:16
18		Hannover 96	12	2	3	7	9:21	-12	7:17
