29/10/1970	19:00	Bayern München	-	FC Schalke 04	3:0 (1:0)	
31/10/1970	14:30	Bor. Mönchengladbach	-	VfB Stuttgart	4:1 (2:0)	
	14:30	Rot-Weiss Essen	-	Borussia Dortmund	0:1 (0:1)	
	14:30	Rot-Weiß Oberhausen	-	Kickers Offenbach	2:2 (1:1)	
	14:30	Eintracht Frankfurt	-	Hertha BSC	1:3 (1:0)	
	14:30	Arminia Bielefeld	-	Werder Bremen	3:0 (2:0)	
	14:30	Hamburger SV	-	MSV Duisburg	2:0 (0:0)	
	14:30	Hannover 96	-	Eintracht Braunschweig	1:0 (1:0)	
	14:30	1. FC Kaiserslautern	-	1. FC Köln	0:0 (0:0)	
1		Bor. Mönchengladbach	13	6	7	0	29:9	20	19:7
2		Bayern München	13	7	5	1	26:9	17	19:7
3		FC Schalke 04	13	7	3	3	21:12	9	17:9
4		Eintracht Braunschweig	13	7	2	4	22:12	10	16:10
5		Hertha BSC	13	7	2	4	20:14	6	16:10
6		1. FC Köln	13	4	6	3	16:13	3	14:12
7		VfB Stuttgart	13	5	4	4	22:21	1	14:12
8		1. FC Kaiserslautern	13	6	1	6	21:22	-1	13:13
9		Rot-Weiss Essen	13	3	6	4	17:15	2	12:14
10		Borussia Dortmund	13	5	2	6	17:20	-3	12:14
11		Kickers Offenbach	13	4	4	5	16:20	-4	12:14
12		MSV Duisburg	13	3	5	5	8:14	-6	11:15
13		Hamburger SV	13	4	3	6	18:31	-13	11:15
14		Rot-Weiß Oberhausen	13	3	4	6	24:31	-7	10:16
15		Werder Bremen	13	2	6	5	8:15	-7	10:16
16		Arminia Bielefeld	13	4	2	7	14:22	-8	10:16
17		Eintracht Frankfurt	13	2	5	6	6:14	-8	9:17
18		Hannover 96	13	3	3	7	10:21	-11	9:17
