06/11/1970	19:00	MSV Duisburg	-	Hannover 96	3:2 (3:1)	
07/11/1970	14:30	Hertha BSC	-	Bor. Mönchengladbach	4:2 (2:0)	
	14:30	FC Schalke 04	-	Rot-Weiß Oberhausen	2:0 (2:0)	
	14:30	Kickers Offenbach	-	Rot-Weiss Essen	1:2 (1:1)	
	14:30	Werder Bremen	-	1. FC Kaiserslautern	1:1 (1:0)	
	14:30	VfB Stuttgart	-	Hamburger SV	3:3 (2:0)	
	14:30	Eintracht Braunschweig	-	Arminia Bielefeld	3:2 (1:1)	
	14:30	1. FC Köln	-	Bayern München	0:3 (0:0)	
	14:30	Borussia Dortmund	-	Eintracht Frankfurt	3:0 (2:0)	
1		Bayern München	14	8	5	1	29:9	20	21:7
2		Bor. Mönchengladbach	14	6	7	1	31:13	18	19:9
3		FC Schalke 04	14	8	3	3	23:12	11	19:9
4		Eintracht Braunschweig	14	8	2	4	25:14	11	18:10
5		Hertha BSC	14	8	2	4	24:16	8	18:10
6		VfB Stuttgart	14	5	5	4	25:24	1	15:13
7		Rot-Weiss Essen	14	4	6	4	19:16	3	14:14
8		Borussia Dortmund	14	6	2	6	20:20	0	14:14
9		1. FC Köln	14	4	6	4	16:16	0	14:14
10		1. FC Kaiserslautern	14	6	2	6	22:23	-1	14:14
11		MSV Duisburg	14	4	5	5	11:16	-5	13:15
12		Kickers Offenbach	14	4	4	6	17:22	-5	12:16
13		Hamburger SV	14	4	4	6	21:34	-13	12:16
14		Werder Bremen	14	2	7	5	9:16	-7	11:17
15		Rot-Weiß Oberhausen	14	3	4	7	24:33	-9	10:18
16		Arminia Bielefeld	14	4	2	8	16:25	-9	10:18
17		Eintracht Frankfurt	14	2	5	7	6:17	-11	9:19
18		Hannover 96	14	3	3	8	12:24	-12	9:19
