27/11/1971	14:30	MSV Duisburg	-	1. FC Köln	1:1 (1:0)	
	14:30	Bor. Mönchengladbach	-	Rot-Weiß Oberhausen	5:2 (0:2)	
	14:30	Bayern München	-	Borussia Dortmund	11:1 (4:0)	
	14:30	VfL Bochum	-	Fortuna Düsseldorf	3:1 (2:0)	
	14:30	VfB Stuttgart	-	FC Schalke 04	0:1 (0:0)	
	14:30	Arminia Bielefeld	-	Hertha BSC	1:1 (1:1)	
	14:30	Hamburger SV	-	Werder Bremen	2:1 (0:0)	
	14:30	1. FC Kaiserslautern	-	Eintracht Braunschweig	2:2 (0:2)	
	14:30	Hannover 96	-	Eintracht Frankfurt	3:1 (2:1)	
1		FC Schalke 04	16	12	2	2	36:14	22	26:6
2		Bayern München	16	10	5	1	47:17	30	25:7
3		Bor. Mönchengladbach	16	10	2	4	45:17	28	22:10
4		Hamburger SV	16	8	4	4	33:20	13	20:12
5		1. FC Köln	16	7	6	3	30:23	7	20:12
6		VfB Stuttgart	16	7	5	4	30:25	5	19:13
7		Hertha BSC	16	6	7	3	21:24	-3	19:13
8		1. FC Kaiserslautern	16	7	3	6	26:23	3	17:15
9		Eintracht Frankfurt	16	7	3	6	32:34	-2	17:15
10		Werder Bremen	16	6	4	6	29:22	7	16:16
11		Eintracht Braunschweig	16	3	10	3	17:17	0	16:16
12		MSV Duisburg	16	4	4	8	17:27	-10	12:20
13		Fortuna Düsseldorf	16	4	4	8	13:23	-10	12:20
14		VfL Bochum	16	6	0	10	25:39	-14	12:20
15		Borussia Dortmund	16	3	4	9	16:42	-26	10:22
16		Rot-Weiß Oberhausen	16	2	5	9	12:31	-19	9:23
17		Hannover 96	16	3	1	12	19:34	-15	7:25
18		Arminia Bielefeld	16	2	5	9	0:0	18	-10:-26
