04/11/1972	13:30	Bor. Mönchengladbach	-	Eintracht Braunschweig	4:0 (2:0)	
	14:30	Fortuna Düsseldorf	-	1. FC Köln	3:2 (2:0)	
	14:30	FC Schalke 04	-	Wuppertaler SV	1:2 (0:2)	
	14:30	1. FC Kaiserslautern	-	VfL Bochum	2:2 (1:0)	
	14:30	Eintracht Frankfurt	-	Hertha BSC	2:2 (0:0)	
	14:30	Hannover 96	-	Kickers Offenbach	1:1 (1:0)	
	14:30	VfB Stuttgart	-	Werder Bremen	2:1 (0:1)	
	14:30	Hamburger SV	-	Bayern München	0:2 (0:0)	
	14:30	MSV Duisburg	-	Rot-Weiß Oberhausen	4:1 (0:0)	
1		Bayern München	11	9	1	1	28:4	24	19:3
2		Fortuna Düsseldorf	11	6	4	1	26:18	8	16:6
3		VfB Stuttgart	11	7	1	3	22:17	5	15:7
4		Wuppertaler SV	11	5	3	3	18:12	6	13:9
5		Bor. Mönchengladbach	11	6	1	4	25:21	4	13:9
6		VfL Bochum	11	6	1	4	17:17	0	13:9
7		1. FC Köln	11	4	4	3	18:14	4	12:10
8		Kickers Offenbach	11	5	2	4	19:23	-4	12:10
9		MSV Duisburg	11	4	3	4	18:13	5	11:11
10		Eintracht Frankfurt	11	4	3	4	21:18	3	11:11
11		1. FC Kaiserslautern	11	4	3	4	16:17	-1	11:11
12		Werder Bremen	11	2	5	4	10:11	-1	9:13
13		Hannover 96	11	3	3	5	15:20	-5	9:13
14		FC Schalke 04	11	4	0	7	16:20	-4	8:14
15		Hertha BSC	11	3	2	6	18:26	-8	8:14
16		Eintracht Braunschweig	11	4	0	7	8:18	-10	8:14
17		Hamburger SV	11	1	3	7	13:21	-8	5:17
18		Rot-Weiß Oberhausen	11	2	1	8	9:27	-18	5:17
