11/11/1972	14:30	Werder Bremen	-	MSV Duisburg	0:2 (0:1)	
	14:30	Eintracht Braunschweig	-	VfB Stuttgart	1:0 (1:0)	
	14:30	Kickers Offenbach	-	1. FC Kaiserslautern	2:2 (1:1)	
	14:30	Bayern München	-	Hannover 96	7:2 (2:2)	
	14:30	Wuppertaler SV	-	Eintracht Frankfurt	1:0 (0:0)	
	14:30	Rot-Weiß Oberhausen	-	Hamburger SV	3:1 (2:1)	
	14:30	Hertha BSC	-	Bor. Mönchengladbach	3:1 (2:1)	
	14:30	1. FC Köln	-	FC Schalke 04	3:0 (3:0)	
	14:30	VfL Bochum	-	Fortuna Düsseldorf	2:2 (1:1)	
1		Bayern München	12	10	1	1	35:6	29	21:3
2		Fortuna Düsseldorf	12	6	5	1	28:20	8	17:7
3		Wuppertaler SV	12	6	3	3	19:12	7	15:9
4		VfB Stuttgart	12	7	1	4	22:18	4	15:9
5		1. FC Köln	12	5	4	3	21:14	7	14:10
6		VfL Bochum	12	6	2	4	19:19	0	14:10
7		MSV Duisburg	12	5	3	4	20:13	7	13:11
8		Bor. Mönchengladbach	12	6	1	5	26:24	2	13:11
9		Kickers Offenbach	12	5	3	4	21:25	-4	13:11
10		1. FC Kaiserslautern	12	4	4	4	18:19	-1	12:12
11		Eintracht Frankfurt	12	4	3	5	21:19	2	11:13
12		Hertha BSC	12	4	2	6	21:27	-6	10:14
13		Eintracht Braunschweig	12	5	0	7	9:18	-9	10:14
14		Werder Bremen	12	2	5	5	10:13	-3	9:15
15		Hannover 96	12	3	3	6	17:27	-10	9:15
16		FC Schalke 04	12	4	0	8	16:23	-7	8:16
17		Rot-Weiß Oberhausen	12	3	1	8	12:28	-16	7:17
18		Hamburger SV	12	1	3	8	14:24	-10	5:19
