17/11/1972	19:00	VfL Bochum	-	1. FC Köln	2:4 (0:1)	
18/11/1972	14:30	Fortuna Düsseldorf	-	Kickers Offenbach	2:0 (2:0)	
	14:30	VfB Stuttgart	-	Hertha BSC	4:0 (2:0)	
	14:30	Hannover 96	-	Rot-Weiß Oberhausen	3:2 (2:1)	
	14:30	Bor. Mönchengladbach	-	Wuppertaler SV	2:1 (1:0)	
	14:30	1. FC Kaiserslautern	-	Bayern München	3:1 (2:0)	
	14:30	MSV Duisburg	-	Eintracht Braunschweig	3:2 (2:2)	
	14:30	Hamburger SV	-	Werder Bremen	2:2 (2:0)	
	14:30	Eintracht Frankfurt	-	FC Schalke 04	4:2 (1:1)	
1		Bayern München	13	10	1	2	36:9	27	21:5
2		Fortuna Düsseldorf	13	7	5	1	30:20	10	19:7
3		VfB Stuttgart	13	8	1	4	26:18	8	17:9
4		1. FC Köln	13	6	4	3	25:16	9	16:10
5		MSV Duisburg	13	6	3	4	23:15	8	15:11
6		Wuppertaler SV	13	6	3	4	20:14	6	15:11
7		Bor. Mönchengladbach	13	7	1	5	28:25	3	15:11
8		1. FC Kaiserslautern	13	5	4	4	21:20	1	14:12
9		VfL Bochum	13	6	2	5	21:23	-2	14:12
10		Eintracht Frankfurt	13	5	3	5	25:21	4	13:13
11		Kickers Offenbach	13	5	3	5	21:27	-6	13:13
12		Hannover 96	13	4	3	6	20:29	-9	11:15
13		Werder Bremen	13	2	6	5	12:15	-3	10:16
14		Hertha BSC	13	4	2	7	21:31	-10	10:16
15		Eintracht Braunschweig	13	5	0	8	11:21	-10	10:16
16		FC Schalke 04	13	4	0	9	18:27	-9	8:18
17		Rot-Weiß Oberhausen	13	3	1	9	14:31	-17	7:19
18		Hamburger SV	13	1	4	8	16:26	-10	6:20
