27/10/1972	19:00	MSV Duisburg	-	Kickers Offenbach	4:0 (2:0)	
28/10/1972	14:30	1. FC Kaiserslautern	-	1. FC Köln	2:1 (0:0)	
	14:30	Bor. Mönchengladbach	-	Rot-Weiß Oberhausen	4:1 (3:0)	
	14:30	Hannover 96	-	Fortuna Düsseldorf	2:2 (0:1)	
	14:30	FC Schalke 04	-	Eintracht Braunschweig	0:1 (0:1)	
	14:30	Hamburger SV	-	VfL Bochum	2:1 (1:0)	
	14:30	Eintracht Frankfurt	-	Werder Bremen	2:2 (1:1)	
	14:30	Wuppertaler SV	-	Hertha BSC	4:1 (3:0)	
	14:30	VfB Stuttgart	-	Bayern München	0:1 (0:1)	
1		Bayern München	9	7	1	1	24:4	20	15:3
2		Fortuna Düsseldorf	9	4	4	1	21:15	6	12:6
3		VfB Stuttgart	9	6	0	3	18:14	4	12:6
4		1. FC Köln	9	4	3	2	15:10	5	11:7
5		Wuppertaler SV	9	4	2	3	15:10	5	10:8
6		Eintracht Frankfurt	9	4	2	3	18:14	4	10:8
7		Bor. Mönchengladbach	9	5	0	4	20:20	0	10:8
8		1. FC Kaiserslautern	9	4	2	3	13:13	0	10:8
9		VfL Bochum	9	5	0	4	13:15	-2	10:8
10		MSV Duisburg	9	3	3	3	14:10	4	9:9
11		Kickers Offenbach	9	4	1	4	16:21	-5	9:9
12		FC Schalke 04	9	4	0	5	15:15	0	8:10
13		Werder Bremen	9	2	4	3	8:8	0	8:10
14		Hannover 96	9	3	2	4	14:17	-3	8:10
15		Eintracht Braunschweig	9	3	0	6	6:13	-7	6:12
16		Hamburger SV	9	1	3	5	12:17	-5	5:13
17		Hertha BSC	9	2	1	6	13:24	-11	5:13
18		Rot-Weiß Oberhausen	9	2	0	7	6:21	-15	4:14
