18/10/1974	19:00	Kickers Offenbach	-	Bor. Mönchengladbach	4:3 (1:2)	
19/10/1974	14:30	Hamburger SV	-	Wuppertaler SV	4:1 (1:1)	
	14:30	Rot-Weiss Essen	-	MSV Duisburg	3:0 (2:0)	
	14:30	1. FC Köln	-	FC Schalke 04	4:2 (1:2)	
	14:30	VfB Stuttgart	-	Eintracht Braunschweig	0:0 (0:0)	
	14:30	Bayern München	-	Eintracht Frankfurt	2:1 (0:1)	
	14:30	Hertha BSC	-	Werder Bremen	2:0 (0:0)	
	14:30	Fortuna Düsseldorf	-	TeBe Berlin	3:2 (3:0)	
	14:30	VfL Bochum	-	1. FC Kaiserslautern	4:0 (4:0)	
1		Hamburger SV	10	7	1	2	19:8	11	15:5
2		Eintracht Braunschweig	10	6	2	2	21:10	11	14:6
3		Kickers Offenbach	10	7	0	3	26:16	10	14:6
4		Eintracht Frankfurt	10	6	1	3	32:13	19	13:7
5		FC Schalke 04	10	6	0	4	17:10	7	12:8
6		Hertha BSC	10	4	4	2	16:11	5	12:8
7		MSV Duisburg	10	6	0	4	21:19	2	12:8
8		Fortuna Düsseldorf	10	4	4	2	19:18	1	12:8
9		Bayern München	10	6	0	4	18:21	-3	12:8
10		Bor. Mönchengladbach	10	5	1	4	24:17	7	11:9
11		VfL Bochum	10	5	1	4	16:14	2	11:9
12		Rot-Weiss Essen	10	4	1	5	12:21	-9	9:11
13		1. FC Köln	10	3	2	5	21:22	-1	8:12
14		1. FC Kaiserslautern	10	4	0	6	15:20	-5	8:12
15		VfB Stuttgart	10	2	1	7	11:19	-8	5:15
16		TeBe Berlin	10	2	0	8	14:28	-14	4:16
17		Wuppertaler SV	10	1	2	7	9:26	-17	4:16
18		Werder Bremen	10	1	2	7	7:25	-18	4:16
