09/10/1974	19:00	Kickers Offenbach	-	Eintracht Braunschweig	2:1 (2:0)	
	19:00	Hamburger SV	-	1. FC Köln	3:1 (2:0)	
	19:00	MSV Duisburg	-	1. FC Kaiserslautern	3:2 (2:1)	
	19:00	VfB Stuttgart	-	Wuppertaler SV	5:1 (3:1)	
	19:00	Rot-Weiss Essen	-	TeBe Berlin	3:2 (1:0)	
	19:00	Hertha BSC	-	FC Schalke 04	1:0 (0:0)	
	19:00	VfL Bochum	-	Eintracht Frankfurt	3:1 (2:0)	
	19:00	Bayern München	-	Werder Bremen	2:0 (1:0)	
	19:00	Fortuna Düsseldorf	-	Bor. Mönchengladbach	3:2 (1:1)	
1		Hamburger SV	8	6	1	1	15:5	10	13:3
2		Eintracht Frankfurt	8	5	1	2	27:11	16	11:5
3		Eintracht Braunschweig	8	5	1	2	19:9	10	11:5
4		Bor. Mönchengladbach	8	5	1	2	20:11	9	11:5
5		FC Schalke 04	8	5	0	3	13:6	7	10:6
6		Kickers Offenbach	8	5	0	3	16:10	6	10:6
7		Fortuna Düsseldorf	8	3	4	1	16:12	4	10:6
8		Hertha BSC	8	3	4	1	13:9	4	10:6
9		MSV Duisburg	8	5	0	3	19:16	3	10:6
10		VfL Bochum	8	4	1	3	12:12	0	9:7
11		Bayern München	8	4	0	4	14:19	-5	8:8
12		Rot-Weiss Essen	8	3	1	4	9:19	-10	7:9
13		1. FC Kaiserslautern	8	3	0	5	13:16	-3	6:10
14		1. FC Köln	8	1	2	5	13:19	-6	4:12
15		VfB Stuttgart	8	2	0	6	11:17	-6	4:12
16		Wuppertaler SV	8	1	2	5	7:18	-11	4:12
17		Werder Bremen	8	1	2	5	4:17	-13	4:12
18		TeBe Berlin	8	1	0	7	10:25	-15	2:14
