19/09/1975	19:00	1. FC Kaiserslautern	-	VfL Bochum	2:1 (0:0)	
20/09/1975	14:30	Kickers Offenbach	-	Hertha BSC	2:1 (2:0)	
	14:30	Hannover 96	-	Eintracht Frankfurt	3:2 (1:0)	
	14:30	FC Schalke 04	-	Eintracht Braunschweig	5:1 (1:1)	
	14:30	Bor. Mönchengladbach	-	Bayern München	4:1 (1:0)	
	14:30	Fortuna Düsseldorf	-	Karlsruher SC	0:2 (0:1)	
	14:30	Hamburger SV	-	Rot-Weiss Essen	4:1 (1:0)	
	14:30	Bayer 05 Uerdingen	-	Werder Bremen	2:1 (2:1)	
	14:30	1. FC Köln	-	MSV Duisburg	3:2 (1:1)	
1		Bor. Mönchengladbach	8	4	4	0	18:7	11	12:4
2		Eintracht Braunschweig	8	4	3	1	15:11	4	11:5
3		Bayern München	8	4	2	2	19:11	8	10:6
4		Hamburger SV	8	3	3	2	14:8	6	9:7
5		Karlsruher SC	8	4	1	3	10:7	3	9:7
6		Rot-Weiss Essen	8	3	2	3	15:14	1	8:8
7		Eintracht Frankfurt	8	3	2	3	12:12	0	8:8
8		Werder Bremen	8	4	0	4	14:15	-1	8:8
9		Fortuna Düsseldorf	8	3	2	3	12:16	-4	8:8
10		FC Schalke 04	8	2	3	3	16:13	3	7:9
11		Hertha BSC	8	3	1	4	16:15	1	7:9
12		VfL Bochum	8	2	3	3	10:9	1	7:9
13		Hannover 96	8	2	3	3	13:15	-2	7:9
14		1. FC Köln	8	2	3	3	11:13	-2	7:9
15		1. FC Kaiserslautern	8	2	3	3	11:16	-5	7:9
16		Kickers Offenbach	8	3	1	4	13:24	-11	7:9
17		MSV Duisburg	8	2	2	4	16:22	-6	6:10
18		Bayer 05 Uerdingen	8	2	2	4	6:13	-7	6:10
