12/11/1976	19:00	Borussia Dortmund	-	Fortuna Düsseldorf	1:2 (0:1)	
13/11/1976	14:30	Bor. Mönchengladbach	-	FC Schalke 04	2:0 (1:0)	
	14:30	Karlsruher SC	-	Hamburger SV	2:2 (0:0)	
	14:30	1. FC Kaiserslautern	-	Rot-Weiss Essen	7:1 (1:1)	
	14:30	Werder Bremen	-	Eintracht Frankfurt	2:1 (1:1)	
	14:30	VfL Bochum	-	Eintracht Braunschweig	1:1 (0:1)	
	14:30	Hertha BSC	-	TeBe Berlin	2:0 (0:0)	
	14:30	MSV Duisburg	-	1. FC Köln	1:1 (1:1)	
	14:30	Bayern München	-	1. FC Saarbrücken	5:1 (1:1)	
1		Bor. Mönchengladbach	13	10	3	0	32:8	24	23:3
2		Bayern München	13	7	4	2	44:31	13	18:8
3		Hertha BSC	13	7	4	2	25:12	13	18:8
4		Eintracht Braunschweig	13	6	6	1	21:14	7	18:8
5		MSV Duisburg	13	5	6	2	27:17	10	16:10
6		1. FC Köln	13	7	1	5	27:18	9	15:11
7		FC Schalke 04	13	7	1	5	29:24	5	15:11
8		VfL Bochum	13	6	2	5	21:22	-1	14:12
9		Borussia Dortmund	13	5	3	5	25:23	2	13:13
10		Werder Bremen	13	4	4	5	21:21	0	12:14
11		Hamburger SV	13	4	4	5	18:23	-5	12:14
12		Fortuna Düsseldorf	13	5	1	7	17:22	-5	11:15
13		Karlsruher SC	13	3	5	5	17:23	-6	11:15
14		1. FC Kaiserslautern	13	4	2	7	16:16	0	10:16
15		TeBe Berlin	13	3	3	7	21:43	-22	9:17
16		Eintracht Frankfurt	13	3	1	9	27:34	-7	7:19
17		1. FC Saarbrücken	13	2	3	8	10:21	-11	7:19
18		Rot-Weiss Essen	13	1	3	9	15:41	-26	5:21
