09/09/1977	19:00	Werder Bremen	-	1. FC Saarbrücken	1:1 (1:1)	
	19:00	Eintracht Frankfurt	-	MSV Duisburg	3:1 (2:1)	
10/09/1977	14:30	Fortuna Düsseldorf	-	Hamburger SV	3:1 (1:0)	
	14:30	FC St. Pauli	-	Borussia Dortmund	3:6 (0:3)	
	14:30	VfB Stuttgart	-	Bor. Mönchengladbach	2:0 (0:0)	
	14:30	1. FC Kaiserslautern	-	Hertha BSC	2:0 (1:0)	
	14:30	Bayern München	-	Eintracht Braunschweig	3:2 (2:1)	
	14:30	1. FC Köln	-	FC Schalke 04	2:4 (1:1)	
	14:30	VfL Bochum	-	TSV 1860 München	2:0 (2:0)	
1		FC Schalke 04	7	4	3	0	12:6	6	11:3
2		1. FC Kaiserslautern	7	3	3	1	14:9	5	9:5
3		1. FC Köln	7	4	0	3	21:13	8	8:6
4		Eintracht Frankfurt	7	4	0	3	15:10	5	8:6
		Fortuna Düsseldorf	7	4	0	3	15:10	5	8:6
6		Borussia Dortmund	7	4	0	3	15:14	1	8:6
7		Hamburger SV	7	4	0	3	13:12	1	8:6
8		Eintracht Braunschweig	7	4	0	3	11:12	-1	8:6
9		MSV Duisburg	7	2	3	2	13:12	1	7:7
10		Bayern München	7	2	3	2	14:16	-2	7:7
11		Bor. Mönchengladbach	7	2	3	2	9:11	-2	7:7
12		Hertha BSC	7	3	1	3	11:14	-3	7:7
13		VfL Bochum	7	2	2	3	10:6	4	6:8
14		1. FC Saarbrücken	7	2	2	3	10:11	-1	6:8
15		Werder Bremen	7	2	2	3	8:15	-7	6:8
16		VfB Stuttgart	7	2	1	4	10:15	-5	5:9
17		FC St. Pauli	7	2	1	4	11:17	-6	5:9
18		TSV 1860 München	7	0	2	5	4:13	-9	2:12
