16/09/1977	19:00	MSV Duisburg	-	1. FC Kaiserslautern	3:2 (2:2)	
17/09/1977	14:30	Bor. Mönchengladbach	-	FC St. Pauli	2:1 (0:0)	
	14:30	Hamburger SV	-	1. FC Köln	1:0 (1:0)	
	14:30	FC Schalke 04	-	Werder Bremen	1:0 (1:0)	
	14:30	Eintracht Braunschweig	-	VfL Bochum	3:1 (2:1)	
	14:30	TSV 1860 München	-	Eintracht Frankfurt	2:4 (0:2)	
	14:30	Hertha BSC	-	VfB Stuttgart	1:1 (1:0)	
	14:30	Borussia Dortmund	-	Fortuna Düsseldorf	1:2 (0:0)	
	15:15	1. FC Saarbrücken	-	Bayern München	2:1 (1:1)	
1		FC Schalke 04	8	5	3	0	13:6	7	13:3
2		Eintracht Frankfurt	8	5	0	3	19:12	7	10:6
3		Fortuna Düsseldorf	8	5	0	3	17:11	6	10:6
4		Hamburger SV	8	5	0	3	14:12	2	10:6
5		Eintracht Braunschweig	8	5	0	3	14:13	1	10:6
6		1. FC Kaiserslautern	8	3	3	2	16:12	4	9:7
7		MSV Duisburg	8	3	3	2	16:14	2	9:7
8		Bor. Mönchengladbach	8	3	3	2	11:12	-1	9:7
9		1. FC Köln	8	4	0	4	21:14	7	8:8
10		Borussia Dortmund	8	4	0	4	16:16	0	8:8
11		1. FC Saarbrücken	8	3	2	3	12:12	0	8:8
12		Hertha BSC	8	3	2	3	12:15	-3	8:8
13		Bayern München	8	2	3	3	15:18	-3	7:9
14		VfL Bochum	8	2	2	4	11:9	2	6:10
15		VfB Stuttgart	8	2	2	4	11:16	-5	6:10
16		Werder Bremen	8	2	2	4	8:16	-8	6:10
17		FC St. Pauli	8	2	1	5	12:19	-7	5:11
18		TSV 1860 München	8	0	2	6	6:17	-11	2:14
