06/10/1978	19:00	VfL Bochum	-	Arminia Bielefeld	1:0 (0:0)	
	19:00	1. FC Nürnberg	-	Fortuna Düsseldorf	3:2 (1:1)	
	19:00	1. FC Kaiserslautern	-	Hamburger SV	2:1 (1:1)	
07/10/1978	14:30	1. FC Köln	-	MSV Duisburg	3:3 (2:2)	
	14:30	VfB Stuttgart	-	Eintracht Frankfurt	3:1 (0:1)	
	14:30	Werder Bremen	-	Bayern München	1:1 (1:0)	
	14:30	Bor. Mönchengladbach	-	Eintracht Braunschweig	2:3 (1:2)	
	14:30	SV Darmstadt 98	-	Borussia Dortmund	3:2 (1:1)	
	14:30	Hertha BSC	-	FC Schalke 04	1:1 (0:1)	
1		1. FC Kaiserslautern	8	4	4	0	18:7	11	12:4
2		Bayern München	8	5	1	2	22:9	13	11:5
3		Hamburger SV	8	4	2	2	15:8	7	10:6
4		VfB Stuttgart	8	5	0	3	17:14	3	10:6
5		Eintracht Frankfurt	8	5	0	3	14:13	1	10:6
6		Eintracht Braunschweig	8	4	2	2	15:15	0	10:6
7		Fortuna Düsseldorf	8	3	3	2	19:14	5	9:7
8		FC Schalke 04	8	3	3	2	15:11	4	9:7
9		VfL Bochum	8	3	3	2	14:11	3	9:7
10		1. FC Köln	8	2	4	2	10:10	0	8:8
11		Borussia Dortmund	8	3	2	3	11:16	-5	8:8
12		Hertha BSC	8	2	2	4	13:14	-1	6:10
13		Bor. Mönchengladbach	8	2	2	4	12:14	-2	6:10
14		Werder Bremen	8	2	2	4	10:13	-3	6:10
15		MSV Duisburg	8	2	2	4	12:20	-8	6:10
16		1. FC Nürnberg	8	3	0	5	9:19	-10	6:10
17		Arminia Bielefeld	8	1	2	5	8:16	-8	4:12
18		SV Darmstadt 98	8	1	2	5	11:21	-10	4:12
