23/10/1981	19:00	Karlsruher SC	-	Eintracht Braunschweig	2:1 (0:1)	
24/10/1981	13:30	SV Darmstadt 98	-	1. FC Nürnberg	2:1 (2:1)	
	14:30	Arminia Bielefeld	-	Hamburger SV	1:1 (1:0)	
	14:30	Bor. Mönchengladbach	-	MSV Duisburg	4:2 (1:0)	
	14:30	Fortuna Düsseldorf	-	1. FC Kaiserslautern	4:2 (3:1)	
	14:30	Werder Bremen	-	Borussia Dortmund	2:0 (1:0)	
	14:30	SV Bayer 04 Leverkusen	-	1. FC Köln	1:1 (1:1)	
	14:30	VfL Bochum	-	VfB Stuttgart	3:3 (1:1)	
	15:00	Bayern München	-	Eintracht Frankfurt	3:2 (3:1)	
1		1. FC Köln	11	7	2	2	22:9	13	16:6
2		Werder Bremen	11	6	3	2	19:12	7	15:7
3		Bayern München	11	7	1	3	26:20	6	15:7
4		Bor. Mönchengladbach	11	6	3	2	22:18	4	15:7
5		Hamburger SV	11	5	4	2	27:14	13	14:8
6		VfL Bochum	11	5	3	3	22:18	4	13:9
7		1. FC Kaiserslautern	11	3	5	3	23:21	2	11:11
8		Eintracht Frankfurt	11	5	1	5	22:20	2	11:11
9		Karlsruher SC	11	4	3	4	20:19	1	11:11
10		VfB Stuttgart	11	4	3	4	17:18	-1	11:11
11		SV Bayer 04 Leverkusen	11	4	3	4	16:23	-7	11:11
12		Borussia Dortmund	11	4	2	5	16:14	2	10:12
13		Fortuna Düsseldorf	11	3	3	5	18:22	-4	9:13
14		Eintracht Braunschweig	11	4	0	7	16:18	-2	8:14
15		MSV Duisburg	11	3	2	6	18:28	-10	8:14
16		SV Darmstadt 98	11	2	4	5	13:23	-10	8:14
17		Arminia Bielefeld	11	1	4	6	8:17	-9	6:16
18		1. FC Nürnberg	11	2	2	7	12:23	-11	6:16
