05/09/1984	19:00	VfB Stuttgart	-	Bayern München	1:3 (0:2)	
28/09/1984	19:00	Eintracht Frankfurt	-	Arminia Bielefeld	3:0 (1:0)	
	19:00	FC Schalke 04	-	Eintracht Braunschweig	3:2 (1:2)	
29/09/1984	14:30	Hamburger SV	-	1. FC Kaiserslautern	3:2 (2:0)	
	14:30	Fortuna Düsseldorf	-	Werder Bremen	3:2 (2:0)	
	14:30	Waldhof Mannheim	-	Bayer 05 Uerdingen	2:1 (0:1)	
	14:30	1. FC Köln	-	Borussia Dortmund	6:1 (2:1)	
	14:30	VfL Bochum	-	Bayer Leverkusen	0:0 (0:0)	
	14:30	Bor. Mönchengladbach	-	Karlsruher SC	3:3 (0:1)	
1		Bayern München	6	6	0	0	16:5	11	12:0
2		Bor. Mönchengladbach	6	3	2	1	16:13	3	8:4
3		Hamburger SV	6	2	4	0	8:6	2	8:4
4		Werder Bremen	6	3	1	2	15:11	4	7:5
5		1. FC Kaiserslautern	6	2	3	1	11:9	2	7:5
6		Waldhof Mannheim	6	2	3	1	7:6	1	7:5
7		Eintracht Frankfurt	6	2	3	1	11:11	0	7:5
8		Bayer Leverkusen	6	2	3	1	10:10	0	7:5
9		Bayer 05 Uerdingen	6	3	0	3	12:10	2	6:6
10		Fortuna Düsseldorf	6	2	2	2	14:13	1	6:6
11		FC Schalke 04	6	2	2	2	13:13	0	6:6
12		Karlsruher SC	6	1	4	1	12:13	-1	6:6
13		1. FC Köln	6	2	1	3	13:16	-3	5:7
14		VfL Bochum	6	1	3	2	9:12	-3	5:7
15		VfB Stuttgart	6	2	0	4	18:14	4	4:8
16		Arminia Bielefeld	6	0	3	3	5:15	-10	3:9
17		Borussia Dortmund	6	1	0	5	8:14	-6	2:10
18		Eintracht Braunschweig	6	1	0	5	10:17	-7	2:10
