05/10/1984	19:00	Karlsruher SC	-	VfL Bochum	1:1 (0:1)	
	19:00	Bayer 05 Uerdingen	-	Fortuna Düsseldorf	5:2 (3:2)	
	19:00	Borussia Dortmund	-	Bayer Leverkusen	2:1 (0:0)	
06/10/1984	14:30	Werder Bremen	-	Eintracht Frankfurt	3:3 (2:1)	
	14:30	Arminia Bielefeld	-	FC Schalke 04	2:1 (0:1)	
	14:30	Eintracht Braunschweig	-	Hamburger SV	3:1 (1:1)	
	14:30	1. FC Kaiserslautern	-	Bor. Mönchengladbach	2:0 (1:0)	
	14:30	1. FC Köln	-	VfB Stuttgart	1:1 (0:0)	
	14:30	Bayern München	-	Waldhof Mannheim	1:2 (0:0)	
1		Bayern München	7	6	0	1	17:7	10	12:2
2		1. FC Kaiserslautern	7	3	3	1	13:9	4	9:5
3		Waldhof Mannheim	7	3	3	1	9:7	2	9:5
4		Bayer 05 Uerdingen	7	4	0	3	17:12	5	8:6
5		Werder Bremen	7	3	2	2	18:14	4	8:6
6		Bor. Mönchengladbach	7	3	2	2	16:15	1	8:6
7		Eintracht Frankfurt	7	2	4	1	14:14	0	8:6
8		Hamburger SV	7	2	4	1	9:9	0	8:6
9		Karlsruher SC	7	1	5	1	13:14	-1	7:7
10		Bayer Leverkusen	7	2	3	2	11:12	-1	7:7
11		FC Schalke 04	7	2	2	3	14:15	-1	6:8
12		Fortuna Düsseldorf	7	2	2	3	16:18	-2	6:8
13		1. FC Köln	7	2	2	3	14:17	-3	6:8
14		VfL Bochum	7	1	4	2	10:13	-3	6:8
15		VfB Stuttgart	7	2	1	4	19:15	4	5:9
16		Arminia Bielefeld	7	1	3	3	7:16	-9	5:9
17		Eintracht Braunschweig	7	2	0	5	13:18	-5	4:10
18		Borussia Dortmund	7	2	0	5	10:15	-5	4:10
