10/10/1984	19:00	Hamburger SV	-	Arminia Bielefeld	4:0 (3:0)	
	19:00	Eintracht Frankfurt	-	Bayer 05 Uerdingen	3:2 (3:0)	
	19:00	Fortuna Düsseldorf	-	Bayern München	0:2 (0:0)	
	19:00	VfB Stuttgart	-	Borussia Dortmund	2:0 (1:0)	
	19:00	Bayer Leverkusen	-	Karlsruher SC	4:1 (1:1)	
	19:00	FC Schalke 04	-	Werder Bremen	2:2 (1:1)	
11/10/1984	19:00	Bor. Mönchengladbach	-	Eintracht Braunschweig	10:0 (5:0)	
23/10/1984	19:00	VfL Bochum	-	1. FC Kaiserslautern	3:0 (1:0)	
22/12/1984	14:30	Waldhof Mannheim	-	1. FC Köln	1:2 (0:2)	
1		Bayern München	8	7	0	1	19:7	12	14:2
2		Bor. Mönchengladbach	8	4	2	2	26:15	11	10:6
3		Hamburger SV	8	3	4	1	13:9	4	10:6
4		Eintracht Frankfurt	8	3	4	1	17:16	1	10:6
5		Werder Bremen	8	3	3	2	20:16	4	9:7
6		Bayer Leverkusen	8	3	3	2	15:13	2	9:7
7		1. FC Kaiserslautern	8	3	3	2	13:12	1	9:7
8		Waldhof Mannheim	8	3	3	2	10:9	1	9:7
9		Bayer 05 Uerdingen	8	4	0	4	19:15	4	8:8
10		VfL Bochum	8	2	4	2	13:13	0	8:8
11		1. FC Köln	8	3	2	3	16:18	-2	8:8
12		VfB Stuttgart	8	3	1	4	21:15	6	7:9
13		FC Schalke 04	8	2	3	3	16:17	-1	7:9
14		Karlsruher SC	8	1	5	2	14:18	-4	7:9
15		Fortuna Düsseldorf	8	2	2	4	16:20	-4	6:10
16		Arminia Bielefeld	8	1	3	4	7:20	-13	5:11
17		Borussia Dortmund	8	2	0	6	10:17	-7	4:12
18		Eintracht Braunschweig	8	2	0	6	13:28	-15	4:12
