19/10/1984	19:00	Eintracht Braunschweig	-	VfL Bochum	1:3 (1:1)	
	19:00	1. FC Kaiserslautern	-	Bayer Leverkusen	3:3 (1:2)	
	19:00	Bayer 05 Uerdingen	-	FC Schalke 04	1:1 (1:0)	
20/10/1984	14:30	Werder Bremen	-	Hamburger SV	5:2 (1:1)	
	14:30	Arminia Bielefeld	-	Bor. Mönchengladbach	3:3 (1:1)	
	14:30	1. FC Köln	-	Fortuna Düsseldorf	4:2 (1:1)	
	14:30	Bayern München	-	Eintracht Frankfurt	4:2 (3:0)	
	14:30	Borussia Dortmund	-	Karlsruher SC	0:2 (0:0)	
	16:00	VfB Stuttgart	-	Waldhof Mannheim	3:0 (1:0)	
1		Bayern München	9	8	0	1	23:9	14	16:2
2		Bor. Mönchengladbach	9	4	3	2	29:18	11	11:7
3		Werder Bremen	9	4	3	2	25:18	7	11:7
4		Bayer Leverkusen	9	3	4	2	18:16	2	10:8
5		VfL Bochum	9	3	4	2	16:14	2	10:8
6		1. FC Kaiserslautern	9	3	4	2	16:15	1	10:8
7		Hamburger SV	9	3	4	2	15:14	1	10:8
8		1. FC Köln	9	4	2	3	20:20	0	10:8
9		Eintracht Frankfurt	9	3	4	2	19:20	-1	10:8
10		VfB Stuttgart	9	4	1	4	24:15	9	9:9
11		Bayer 05 Uerdingen	9	4	1	4	20:16	4	9:9
12		Karlsruher SC	9	2	5	2	16:18	-2	9:9
13		Waldhof Mannheim	9	3	3	3	10:12	-2	9:9
14		FC Schalke 04	9	2	4	3	17:18	-1	8:10
15		Fortuna Düsseldorf	9	2	2	5	18:24	-6	6:12
16		Arminia Bielefeld	9	1	4	4	10:23	-13	6:12
17		Borussia Dortmund	9	2	0	7	10:19	-9	4:14
18		Eintracht Braunschweig	9	2	0	7	14:31	-17	4:14
