03/10/1987	14:30	Borussia Dortmund	-	Karlsruher SC	0:2 (0:1)	
	14:30	Bayer Leverkusen	-	1. FC Kaiserslautern	2:0 (1:0)	
	14:30	VfB Stuttgart	-	VfL Bochum	3:0 (1:0)	
	14:30	Bor. Mönchengladbach	-	Eintracht Frankfurt	3:1 (2:1)	
	14:30	1. FC Nürnberg	-	1. FC Köln	1:2 (0:1)	
	14:30	FC 08 Homburg	-	Werder Bremen	1:1 (1:0)	
	14:30	Waldhof Mannheim	-	FC Schalke 04	2:0 (1:0)	
	14:30	Bayern München	-	Hannover 96	4:1 (3:0)	
	14:30	Hamburger SV	-	Bayer 05 Uerdingen	3:1 (1:0)	
1		1. FC Köln	11	7	4	0	17:5	12	18:4
2		Werder Bremen	11	7	3	1	22:7	15	17:5
3		Bor. Mönchengladbach	11	8	1	2	25:16	9	17:5
4		Bayern München	11	8	0	3	28:15	13	16:6
5		VfB Stuttgart	11	5	3	3	24:15	9	13:9
6		Karlsruher SC	11	5	3	3	18:15	3	13:9
7		Hamburger SV	11	4	4	3	26:31	-5	12:10
8		1. FC Nürnberg	11	3	5	3	15:10	5	11:11
9		Bayer Leverkusen	11	3	5	3	13:13	0	11:11
10		Borussia Dortmund	11	3	3	5	12:16	-4	9:13
11		Bayer 05 Uerdingen	11	4	0	7	15:16	-1	8:14
12		Eintracht Frankfurt	11	3	2	6	18:22	-4	8:14
13		Hannover 96	11	3	2	6	16:23	-7	8:14
14		Waldhof Mannheim	11	2	4	5	9:17	-8	8:14
15		1. FC Kaiserslautern	11	3	2	6	15:24	-9	8:14
16		VfL Bochum	11	2	3	6	13:19	-6	7:15
17		FC 08 Homburg	11	2	3	6	11:21	-10	7:15
18		FC Schalke 04	11	3	1	7	17:29	-12	7:15
