17/10/1987	14:30	Bayer Leverkusen	-	Bayer 05 Uerdingen	0:0 (0:0)	
	14:30	Eintracht Frankfurt	-	1. FC Köln	1:1 (1:0)	
	14:30	Bor. Mönchengladbach	-	Werder Bremen	1:2 (1:1)	
	14:30	1. FC Nürnberg	-	FC Schalke 04	1:1 (1:0)	
	14:30	FC 08 Homburg	-	Hannover 96	1:1 (1:1)	
	14:30	Waldhof Mannheim	-	Karlsruher SC	4:1 (2:0)	
	14:30	Bayern München	-	1. FC Kaiserslautern	4:2 (4:1)	
	14:30	Hamburger SV	-	VfB Stuttgart	3:0 (2:0)	
17/02/1988	19:00	Borussia Dortmund	-	VfL Bochum	1:2 (1:0)	
1		Werder Bremen	13	9	3	1	25:8	17	21:5
2		1. FC Köln	13	8	5	0	22:7	15	21:5
3		Bayern München	13	10	0	3	33:17	16	20:6
4		Bor. Mönchengladbach	13	8	1	4	27:22	5	17:9
5		VfB Stuttgart	13	6	3	4	29:20	9	15:11
6		Hamburger SV	13	5	4	4	29:34	-5	14:12
7		Karlsruher SC	13	5	3	5	19:20	-1	13:13
8		1. FC Nürnberg	13	3	6	4	16:12	4	12:14
9		Bayer Leverkusen	13	3	6	4	14:16	-2	12:14
10		Eintracht Frankfurt	13	4	3	6	22:23	-1	11:15
11		VfL Bochum	13	4	3	6	18:21	-3	11:15
12		Hannover 96	13	4	3	6	20:25	-5	11:15
13		Waldhof Mannheim	13	3	4	6	14:21	-7	10:16
14		FC Schalke 04	13	4	2	7	21:30	-9	10:16
15		1. FC Kaiserslautern	13	4	2	7	20:29	-9	10:16
16		Bayer 05 Uerdingen	13	4	1	8	17:21	-4	9:17
17		Borussia Dortmund	13	3	3	7	14:21	-7	9:17
18		FC 08 Homburg	13	2	4	7	12:25	-13	8:18
