30/10/1987	19:00	Werder Bremen	-	Eintracht Frankfurt	2:0 (2:0)	
31/10/1987	14:30	FC Schalke 04	-	Bor. Mönchengladbach	0:3 (0:1)	
	14:30	1. FC Köln	-	Hamburger SV	1:0 (1:0)	
	14:30	VfB Stuttgart	-	Bayer Leverkusen	4:1 (2:1)	
	14:30	Bayer 05 Uerdingen	-	Borussia Dortmund	2:1 (1:0)	
	14:30	VfL Bochum	-	Bayern München	0:2 (0:0)	
	14:30	1. FC Kaiserslautern	-	Waldhof Mannheim	2:2 (0:1)	
	14:30	Karlsruher SC	-	FC 08 Homburg	2:1 (0:1)	
	14:30	Hannover 96	-	1. FC Nürnberg	1:2 (0:2)	
1		Werder Bremen	14	10	3	1	27:8	19	23:5
2		1. FC Köln	14	9	5	0	23:7	16	23:5
3		Bayern München	14	11	0	3	35:17	18	22:6
4		Bor. Mönchengladbach	14	9	1	4	30:22	8	19:9
5		VfB Stuttgart	14	7	3	4	33:21	12	17:11
6		Karlsruher SC	14	6	3	5	21:21	0	15:13
7		1. FC Nürnberg	14	4	6	4	18:13	5	14:14
8		Hamburger SV	14	5	4	5	29:35	-6	14:14
9		Bayer Leverkusen	14	3	6	5	15:20	-5	12:16
10		Eintracht Frankfurt	14	4	3	7	22:25	-3	11:17
11		Bayer 05 Uerdingen	14	5	1	8	19:22	-3	11:17
12		VfL Bochum	14	4	3	7	18:23	-5	11:17
13		Hannover 96	14	4	3	7	21:27	-6	11:17
14		Waldhof Mannheim	14	3	5	6	16:23	-7	11:17
15		1. FC Kaiserslautern	14	4	3	7	22:31	-9	11:17
16		FC Schalke 04	14	4	2	8	21:33	-12	10:18
17		Borussia Dortmund	14	3	3	8	15:23	-8	9:19
18		FC 08 Homburg	14	2	4	8	13:27	-14	8:20
