06/11/1987	19:00	Waldhof Mannheim	-	VfL Bochum	1:1 (1:0)	
07/11/1987	13:30	FC 08 Homburg	-	1. FC Kaiserslautern	3:2 (2:1)	
	14:30	Borussia Dortmund	-	VfB Stuttgart	2:2 (0:1)	
	14:30	Bayer Leverkusen	-	Hamburger SV	2:0 (0:0)	
	14:30	Eintracht Frankfurt	-	FC Schalke 04	2:0 (1:0)	
	14:30	Bor. Mönchengladbach	-	Hannover 96	1:2 (0:0)	
	14:30	1. FC Nürnberg	-	Karlsruher SC	4:0 (2:0)	
	14:30	Bayern München	-	Bayer 05 Uerdingen	3:0 (1:0)	
	14:30	Werder Bremen	-	1. FC Köln	2:1 (1:1)	
1		Werder Bremen	15	11	3	1	29:9	20	25:5
2		Bayern München	15	12	0	3	38:17	21	24:6
3		1. FC Köln	15	9	5	1	24:9	15	23:7
4		Bor. Mönchengladbach	15	9	1	5	31:24	7	19:11
5		VfB Stuttgart	15	7	4	4	35:23	12	18:12
6		1. FC Nürnberg	15	5	6	4	22:13	9	16:14
7		Karlsruher SC	15	6	3	6	21:25	-4	15:15
8		Bayer Leverkusen	15	4	6	5	17:20	-3	14:16
9		Hamburger SV	15	5	4	6	29:37	-8	14:16
10		Eintracht Frankfurt	15	5	3	7	24:25	-1	13:17
11		Hannover 96	15	5	3	7	23:28	-5	13:17
12		VfL Bochum	15	4	4	7	19:24	-5	12:18
13		Waldhof Mannheim	15	3	6	6	17:24	-7	12:18
14		Bayer 05 Uerdingen	15	5	1	9	19:25	-6	11:19
15		1. FC Kaiserslautern	15	4	3	8	24:34	-10	11:19
16		Borussia Dortmund	15	3	4	8	17:25	-8	10:20
17		FC 08 Homburg	15	3	4	8	16:29	-13	10:20
18		FC Schalke 04	15	4	2	9	21:35	-14	10:20
