13/11/1987	18:30	Bayer Leverkusen	-	Borussia Dortmund	2:2 (2:1)	
14/11/1987	14:30	FC Schalke 04	-	1. FC Köln	2:2 (2:2)	
	14:30	VfB Stuttgart	-	Bayern München	3:0 (1:0)	
	14:30	Bayer 05 Uerdingen	-	Waldhof Mannheim	1:1 (1:0)	
	14:30	1. FC Kaiserslautern	-	1. FC Nürnberg	1:2 (1:0)	
	14:30	Karlsruher SC	-	Bor. Mönchengladbach	2:2 (0:1)	
	14:30	Hannover 96	-	Eintracht Frankfurt	1:2 (1:1)	
	14:30	Hamburger SV	-	Werder Bremen	0:0 (0:0)	
17/11/1987	19:00	VfL Bochum	-	FC 08 Homburg	4:4 (1:2)	
1		Werder Bremen	16	11	4	1	29:9	20	26:6
2		Bayern München	16	12	0	4	38:20	18	24:8
3		1. FC Köln	16	9	6	1	26:11	15	24:8
4		VfB Stuttgart	16	8	4	4	38:23	15	20:12
5		Bor. Mönchengladbach	16	9	2	5	33:26	7	20:12
6		1. FC Nürnberg	16	6	6	4	24:14	10	18:14
7		Karlsruher SC	16	6	4	6	23:27	-4	16:16
8		Eintracht Frankfurt	16	6	3	7	26:26	0	15:17
9		Bayer Leverkusen	16	4	7	5	19:22	-3	15:17
10		Hamburger SV	16	5	5	6	29:37	-8	15:17
11		VfL Bochum	16	4	5	7	23:28	-5	13:19
12		Hannover 96	16	5	3	8	24:30	-6	13:19
13		Waldhof Mannheim	16	3	7	6	18:25	-7	13:19
14		Bayer 05 Uerdingen	16	5	2	9	20:26	-6	12:20
15		Borussia Dortmund	16	3	5	8	19:27	-8	11:21
16		1. FC Kaiserslautern	16	4	3	9	25:36	-11	11:21
17		FC 08 Homburg	16	3	5	8	20:33	-13	11:21
18		FC Schalke 04	16	4	3	9	23:37	-14	11:21
