21/11/1987	13:15	FC 08 Homburg	-	Bayer 05 Uerdingen	2:2 (2:1)	
	14:30	Borussia Dortmund	-	Hamburger SV	2:3 (2:3)	
	14:30	1. FC Köln	-	Hannover 96	2:0 (0:0)	
	14:30	Eintracht Frankfurt	-	Karlsruher SC	4:0 (2:0)	
	14:30	Bor. Mönchengladbach	-	1. FC Kaiserslautern	1:0 (1:0)	
	14:30	1. FC Nürnberg	-	VfL Bochum	2:1 (2:0)	
	14:30	Waldhof Mannheim	-	VfB Stuttgart	2:1 (2:1)	
	14:30	Bayern München	-	Bayer Leverkusen	3:2 (2:0)	
17/02/1988	19:00	Werder Bremen	-	FC Schalke 04	5:0 (1:0)	
1		Werder Bremen	17	12	4	1	34:9	25	28:6
2		Bayern München	17	13	0	4	41:22	19	26:8
3		1. FC Köln	17	10	6	1	28:11	17	26:8
4		Bor. Mönchengladbach	17	10	2	5	34:26	8	22:12
5		VfB Stuttgart	17	8	4	5	39:25	14	20:14
6		1. FC Nürnberg	17	7	6	4	26:15	11	20:14
7		Eintracht Frankfurt	17	7	3	7	30:26	4	17:17
8		Hamburger SV	17	6	5	6	32:39	-7	17:17
9		Karlsruher SC	17	6	4	7	23:31	-8	16:18
10		Bayer Leverkusen	17	4	7	6	21:25	-4	15:19
11		Waldhof Mannheim	17	4	7	6	20:26	-6	15:19
12		VfL Bochum	17	4	5	8	24:30	-6	13:21
13		Bayer 05 Uerdingen	17	5	3	9	22:28	-6	13:21
14		Hannover 96	17	5	3	9	24:32	-8	13:21
15		FC 08 Homburg	17	3	6	8	22:35	-13	12:22
16		Borussia Dortmund	17	3	5	9	21:30	-9	11:23
17		1. FC Kaiserslautern	17	4	3	10	25:37	-12	11:23
18		FC Schalke 04	17	4	3	10	23:42	-19	11:23
