27/11/1987	19:00	1. FC Köln	-	Karlsruher SC	4:0 (1:0)	
28/11/1987	13:15	FC 08 Homburg	-	VfB Stuttgart	2:2 (1:1)	
	14:30	Bayern München	-	Borussia Dortmund	1:3 (1:2)	
	14:30	Waldhof Mannheim	-	Bayer Leverkusen	1:4 (1:2)	
	14:30	1. FC Nürnberg	-	Bayer 05 Uerdingen	3:1 (2:1)	
	14:30	Bor. Mönchengladbach	-	VfL Bochum	3:0 (2:0)	
	14:30	Eintracht Frankfurt	-	1. FC Kaiserslautern	0:2 (0:0)	
	14:30	Werder Bremen	-	Hannover 96	1:0 (0:0)	
	14:30	FC Schalke 04	-	Hamburger SV	1:0 (0:0)	
1		Werder Bremen	18	13	4	1	35:9	26	30:6
2		1. FC Köln	18	11	6	1	32:11	21	28:8
3		Bayern München	18	13	0	5	42:25	17	26:10
4		Bor. Mönchengladbach	18	11	2	5	37:26	11	24:12
5		1. FC Nürnberg	18	8	6	4	29:16	13	22:14
6		VfB Stuttgart	18	8	5	5	41:27	14	21:15
7		Eintracht Frankfurt	18	7	3	8	30:28	2	17:19
8		Bayer Leverkusen	18	5	7	6	25:26	-1	17:19
9		Hamburger SV	18	6	5	7	32:40	-8	17:19
10		Karlsruher SC	18	6	4	8	23:35	-12	16:20
11		Waldhof Mannheim	18	4	7	7	21:30	-9	15:21
12		Borussia Dortmund	18	4	5	9	24:31	-7	13:23
13		Bayer 05 Uerdingen	18	5	3	10	23:31	-8	13:23
14		Hannover 96	18	5	3	10	24:33	-9	13:23
		VfL Bochum	18	4	5	9	24:33	-9	13:23
16		1. FC Kaiserslautern	18	5	3	10	27:37	-10	13:23
17		FC 08 Homburg	18	3	7	8	24:37	-13	13:23
18		FC Schalke 04	18	5	3	10	24:42	-18	13:23
