04/12/1987	18:30	Bayer Leverkusen	-	FC 08 Homburg	2:1 (2:0)	
	19:00	Hannover 96	-	FC Schalke 04	3:1 (1:1)	
05/12/1987	14:30	1. FC Kaiserslautern	-	1. FC Köln	3:0 (1:0)	
	14:30	VfL Bochum	-	Eintracht Frankfurt	1:0 (0:0)	
	14:30	Bayer 05 Uerdingen	-	Bor. Mönchengladbach	2:4 (1:2)	
	14:30	VfB Stuttgart	-	1. FC Nürnberg	0:1 (0:1)	
	14:30	Borussia Dortmund	-	Waldhof Mannheim	0:1 (0:0)	
	14:30	Hamburger SV	-	Bayern München	2:2 (0:1)	
	14:30	Karlsruher SC	-	Werder Bremen	0:2 (0:1)	
1		Werder Bremen	19	14	4	1	37:9	28	32:6
2		1. FC Köln	19	11	6	2	32:14	18	28:10
3		Bayern München	19	13	1	5	44:27	17	27:11
4		Bor. Mönchengladbach	19	12	2	5	41:28	13	26:12
5		1. FC Nürnberg	19	9	6	4	30:16	14	24:14
6		VfB Stuttgart	19	8	5	6	41:28	13	21:17
7		Bayer Leverkusen	19	6	7	6	27:27	0	19:19
8		Hamburger SV	19	6	6	7	34:42	-8	18:20
9		Eintracht Frankfurt	19	7	3	9	30:29	1	17:21
10		Waldhof Mannheim	19	5	7	7	22:30	-8	17:21
11		Karlsruher SC	19	6	4	9	23:37	-14	16:22
12		1. FC Kaiserslautern	19	6	3	10	30:37	-7	15:23
13		Hannover 96	19	6	3	10	27:34	-7	15:23
14		VfL Bochum	19	5	5	9	25:33	-8	15:23
15		Borussia Dortmund	19	4	5	10	24:32	-8	13:25
16		Bayer 05 Uerdingen	19	5	3	11	25:35	-10	13:25
17		FC 08 Homburg	19	3	7	9	25:39	-14	13:25
18		FC Schalke 04	19	5	3	11	25:45	-20	13:25
