20/02/1988	13:30	FC 08 Homburg	-	Borussia Dortmund	0:3 (0:2)	
	14:30	1. FC Nürnberg	-	Bayer Leverkusen	2:1 (1:0)	
	14:30	Bor. Mönchengladbach	-	VfB Stuttgart	0:1 (0:0)	
	14:30	Eintracht Frankfurt	-	Bayer 05 Uerdingen	3:1 (0:0)	
	14:30	1. FC Köln	-	VfL Bochum	2:2 (1:1)	
	14:30	Werder Bremen	-	1. FC Kaiserslautern	0:0 (0:0)	
	14:30	FC Schalke 04	-	Karlsruher SC	3:1 (1:0)	
	14:30	Waldhof Mannheim	-	Bayern München	1:2 (1:1)	
	14:30	Hannover 96	-	Hamburger SV	3:1 (0:0)	
1		Werder Bremen	20	14	5	1	37:9	28	33:7
2		Bayern München	20	14	1	5	46:28	18	29:11
3		1. FC Köln	20	11	7	2	34:16	18	29:11
4		1. FC Nürnberg	20	10	6	4	32:17	15	26:14
5		Bor. Mönchengladbach	20	12	2	6	41:29	12	26:14
6		VfB Stuttgart	20	9	5	6	42:28	14	23:17
7		Eintracht Frankfurt	20	8	3	9	33:30	3	19:21
8		Bayer Leverkusen	20	6	7	7	28:29	-1	19:21
9		Hamburger SV	20	6	6	8	35:45	-10	18:22
10		Hannover 96	20	7	3	10	30:35	-5	17:23
11		Waldhof Mannheim	20	5	7	8	23:32	-9	17:23
12		1. FC Kaiserslautern	20	6	4	10	30:37	-7	16:24
13		VfL Bochum	20	5	6	9	27:35	-8	16:24
14		Karlsruher SC	20	6	4	10	24:40	-16	16:24
15		Borussia Dortmund	20	5	5	10	27:32	-5	15:25
16		FC Schalke 04	20	6	3	11	28:46	-18	15:25
17		Bayer 05 Uerdingen	20	5	3	12	26:38	-12	13:27
18		FC 08 Homburg	20	3	7	10	25:42	-17	13:27
