27/02/1988	14:30	1. FC Kaiserslautern	-	FC Schalke 04	5:2 (0:1)	
	14:30	Bayer 05 Uerdingen	-	1. FC Köln	1:1 (1:1)	
	14:30	Bayern München	-	FC 08 Homburg	6:0 (1:0)	
	14:30	VfL Bochum	-	Werder Bremen	0:1 (0:1)	
08/03/1988	19:00	Bayer Leverkusen	-	Bor. Mönchengladbach	2:1 (0:0)	
15/03/1988	19:00	VfB Stuttgart	-	Eintracht Frankfurt	1:0 (0:0)	
	19:00	Karlsruher SC	-	Hannover 96	2:1 (0:0)	
29/03/1988	19:00	Hamburger SV	-	Waldhof Mannheim	1:1 (0:0)	
05/04/1988	19:00	Borussia Dortmund	-	1. FC Nürnberg	1:1 (0:0)	
1		Werder Bremen	21	15	5	1	38:9	29	35:7
2		Bayern München	21	15	1	5	52:28	24	31:11
3		1. FC Köln	21	11	8	2	35:17	18	30:12
4		1. FC Nürnberg	21	10	7	4	33:18	15	27:15
5		Bor. Mönchengladbach	21	12	2	7	42:31	11	26:16
6		VfB Stuttgart	21	10	5	6	43:28	15	25:17
7		Bayer Leverkusen	21	7	7	7	30:30	0	21:21
8		Eintracht Frankfurt	21	8	3	10	33:31	2	19:23
9		Hamburger SV	21	6	7	8	36:46	-10	19:23
10		1. FC Kaiserslautern	21	7	4	10	35:39	-4	18:24
11		Waldhof Mannheim	21	5	8	8	24:33	-9	18:24
12		Karlsruher SC	21	7	4	10	26:41	-15	18:24
13		Hannover 96	21	7	3	11	31:37	-6	17:25
14		Borussia Dortmund	21	5	6	10	28:33	-5	16:26
15		VfL Bochum	21	5	6	10	27:36	-9	16:26
16		FC Schalke 04	21	6	3	12	30:51	-21	15:27
17		Bayer 05 Uerdingen	21	5	4	12	27:39	-12	14:28
18		FC 08 Homburg	21	3	7	11	25:48	-23	13:29
