11/09/1987	19:00	Eintracht Frankfurt	-	Waldhof Mannheim	5:1 (2:0)	
	19:00	1. FC Kaiserslautern	-	VfL Bochum	4:2 (1:2)	
	19:00	Werder Bremen	-	Borussia Dortmund	4:0 (3:0)	
12/09/1987	14:30	FC Schalke 04	-	Bayer Leverkusen	2:2 (2:1)	
	14:30	1. FC Köln	-	Bayern München	3:1 (3:1)	
	14:30	Bor. Mönchengladbach	-	FC 08 Homburg	2:0 (2:0)	
	14:30	1. FC Nürnberg	-	Hamburger SV	2:2 (0:0)	
	14:30	Karlsruher SC	-	Bayer 05 Uerdingen	1:0 (0:0)	
	14:30	Hannover 96	-	VfB Stuttgart	3:3 (2:0)	
1		Werder Bremen	8	6	2	0	17:3	14	14:2
2		1. FC Köln	8	5	3	0	12:4	8	13:3
3		Bor. Mönchengladbach	8	6	1	1	14:10	4	13:3
4		VfB Stuttgart	8	4	2	2	18:11	7	10:6
5		Bayern München	8	5	0	3	18:12	6	10:6
6		1. FC Nürnberg	8	2	5	1	10:5	5	9:7
7		Karlsruher SC	8	4	1	3	13:12	1	9:7
8		Hamburger SV	8	3	3	2	19:20	-1	9:7
9		Hannover 96	8	3	2	3	13:14	-1	8:8
10		FC Schalke 04	8	3	1	4	15:19	-4	7:9
11		VfL Bochum	8	2	2	4	10:10	0	6:10
12		Eintracht Frankfurt	8	2	2	4	12:13	-1	6:10
13		Bayer Leverkusen	8	1	4	3	8:12	-4	6:10
14		1. FC Kaiserslautern	8	2	2	4	12:18	-6	6:10
15		Borussia Dortmund	8	1	3	4	5:11	-6	5:11
16		Waldhof Mannheim	8	1	3	4	6:14	-8	5:11
17		Bayer 05 Uerdingen	8	2	0	6	7:11	-4	4:12
18		FC 08 Homburg	8	1	2	5	5:15	-10	4:12
