20/10/1989	18:30	1. FC Kaiserslautern	-	FC St. Pauli	1:1 (1:0)	
21/10/1989	14:00	Waldhof Mannheim	-	Karlsruher SC	0:1 (0:0)	
	14:30	Hamburger SV	-	FC 08 Homburg	2:0 (0:0)	
	14:30	1. FC Köln	-	Fortuna Düsseldorf	1:3 (1:0)	
	14:30	Bayern München	-	Bayer Leverkusen	0:1 (0:1)	
	14:30	Bayer 05 Uerdingen	-	Werder Bremen	0:1 (0:0)	
	14:30	VfB Stuttgart	-	Borussia Dortmund	3:1 (1:1)	
	14:30	VfL Bochum	-	1. FC Nürnberg	3:3 (2:0)	
	14:30	Eintracht Frankfurt	-	Bor. Mönchengladbach	3:0 (0:0)	
1		Bayer Leverkusen	14	7	6	1	19:8	11	20:8
2		Bayern München	14	8	3	3	29:13	16	19:9
3		1. FC Köln	14	7	5	2	21:16	5	19:9
4		Eintracht Frankfurt	14	7	3	4	25:16	9	17:11
5		VfB Stuttgart	14	7	3	4	20:18	2	17:11
6		1. FC Nürnberg	14	6	4	4	22:15	7	16:12
7		Hamburger SV	14	6	3	5	19:17	2	15:13
8		Werder Bremen	14	4	6	4	20:16	4	14:14
9		Borussia Dortmund	14	6	2	6	15:13	2	14:14
10		Waldhof Mannheim	14	6	1	7	17:21	-4	13:15
11		FC 08 Homburg	14	4	4	6	11:17	-6	12:16
12		Bayer 05 Uerdingen	14	4	3	7	20:21	-1	11:17
13		Fortuna Düsseldorf	14	3	5	6	20:24	-4	11:17
14		1. FC Kaiserslautern	14	3	5	6	20:25	-5	11:17
15		Bor. Mönchengladbach	14	3	5	6	12:18	-6	11:17
16		VfL Bochum	14	4	3	7	17:26	-9	11:17
17		FC St. Pauli	14	2	7	5	10:20	-10	11:17
18		Karlsruher SC	14	2	6	6	10:23	-13	10:18
