20/09/1991	19:00	SG Wattenscheid 09	-	VfL Bochum	1:2 (0:0)	
	19:00	Bor. Mönchengladbach	-	1. FC Köln	2:2 (1:1)	
	19:00	Karlsruher SC	-	Fortuna Düsseldorf	1:5 (1:2)	
21/09/1991	14:30	Borussia Dortmund	-	Hamburger SV	2:2 (2:1)	
	14:30	Bayern München	-	Eintracht Frankfurt	3:3 (1:1)	
	14:30	1. FC Nürnberg	-	Stuttgarter Kickers	2:0 (0:0)	
	14:30	Werder Bremen	-	Hansa Rostock	1:0 (1:0)	
	14:30	Bayer Leverkusen	-	Dynamo Dresden	4:0 (1:0)	
	14:30	VfB Stuttgart	-	1. FC Kaiserslautern	4:1 (2:1)	
22/09/1991	17:00	MSV Duisburg	-	FC Schalke 04	2:0 (1:0)	
1		VfB Stuttgart	10	6	2	2	18:6	12	14:6
2		Eintracht Frankfurt	10	5	3	2	25:13	12	13:7
3		MSV Duisburg	10	5	3	2	15:10	5	13:7
4		Bayer Leverkusen	10	4	5	1	11:7	4	13:7
5		Hamburger SV	10	4	5	1	12:10	2	13:7
6		1. FC Nürnberg	10	4	3	3	16:13	3	11:9
7		1. FC Kaiserslautern	10	4	3	3	15:12	3	11:9
8		Bayern München	10	4	3	3	13:12	1	11:9
9		Borussia Dortmund	10	4	3	3	19:21	-2	11:9
10		Werder Bremen	10	3	4	3	15:11	4	10:10
11		Hansa Rostock	10	4	2	4	16:13	3	10:10
12		FC Schalke 04	10	4	2	4	13:15	-2	10:10
13		Karlsruher SC	10	3	4	3	13:18	-5	10:10
14		VfL Bochum	10	3	3	4	14:17	-3	9:11
15		Stuttgarter Kickers	10	3	2	5	13:16	-3	8:12
16		1. FC Köln	10	0	8	2	10:16	-6	8:12
17		Dynamo Dresden	10	3	1	6	7:16	-9	7:13
18		Fortuna Düsseldorf	10	2	2	6	15:21	-6	6:14
19		SG Wattenscheid 09	10	1	4	5	11:17	-6	6:14
20		Bor. Mönchengladbach	10	2	2	6	9:16	-7	6:14
